X,Y,OBJECTID,MAR_WARD,ADDRESS,PROJECT_NAME,STATUS_PUBLIC,AGENCY_CALCULATED,TOTAL_AFFORDABLE_UNITS,LATITUDE,LONGITUDE,AFFORDABLE_UNITS_AT_0_30_AMI,AFFORDABLE_UNITS_AT_31_50_AMI,AFFORDABLE_UNITS_AT_51_60_AMI,AFFORDABLE_UNITS_AT_61_80_AMI,AFFORDABLE_UNITS_AT_81_AMI,CASE_ID,MAR_ID,XCOORD,YCOORD,FULLADDRESS,GIS_LAST_MOD_DTTM
-8569701.65564455,4707547.37358233,121697,Ward 5,"818 Bladensburg Road Northeast, Washington, District of Columbia 20002",818 Bladensburg Rd NE,Completed 2015 to Date,DHCD,3,38.90130746,-76.98300079,0,0,3,0,0,,80503,401480.04,137051.9,818 BLADENSBURG ROAD NE,2024/09/23 09:00:26+00
-8572543.08542915,4708316.0683953,121698,Ward 6,"2 Patterson Street Northeast, Washington, District of Columbia 20002",2 Patterson,Pipeline,DMPED,325,38.90669307,-77.00846249,48,147,0,130,0,,317738,399266,137648.32,2 PATTERSON STREET NE,2024/09/23 09:00:26+00
-8569282.87823227,4712063.79205705,121699,Ward 5,"1803 1/2 Monroe St NE, Washington, District of Columbia 20018",1803 1/2 Monroe St NE,Completed 2015 to Date,DHCD,1,38.93288638,-76.97917556,0,1,0,0,0,,318404,401805.56,140556.17,1803 1/2 MONROE STREET NE,2024/09/23 09:00:26+00
-8570773.71237109,4712352.09908187,121700,Ward 5,"1005 Bunker Hill Road Northeast, Washington, District of Columbia 20018",Mary House,Under Construction,DHCD,2,38.93490133,-76.99256794,0,0,2,0,0,,285746,400644.37,140779.63,1005 BUNKER HILL ROAD NE,2024/09/23 09:00:26+00
-8574430.01328141,4713124.91154672,121701,Ward 4,"4014 Georgia Avenue Northwest, Washington, District of Columbia 20011",4014 Georgia Ave NW,Completed 2015 to Date,DHCD,1,38.94030092,-77.02541304,0,1,0,0,0,,224857,397796.82,141379.35,4014 GEORGIA AVENUE NW,2024/09/23 09:00:26+00
-8568045.43488749,4702827.1612969,121702,Ward 7,"1735 28th Street Southeast, Washington, District of Columbia 20020",1735 28th St SE,Completed 2015 to Date,DHCD,1,38.86830817,-76.96803096,0,0,0,1,0,,318560,402771.88,133388.28,1735 28TH STREET SE,2024/09/23 09:00:26+00
-8569077.47827465,4707602.8651551,121703,Ward 5,"1810 I Street Northeast, Washington, District of Columbia 20002",1810 I St NE,Completed 2015 to Date,DHCD,1,38.90170764,-76.97733042,0,1,0,0,0,,55790,401966.4,137095.07,1810 I STREET NE,2024/09/23 09:00:26+00
-8569898.14123227,4710815.00604006,121704,Ward 5,"1400 Montana Avenue Northeast, Washington, District of Columbia 20018",1400 Montana Ave NE,Completed 2015 to Date,DHCD,9,38.92430306,-76.9848807,0,0,9,0,0,,286125,401326.51,139587.32,1400 MONTANA AVENUE NE,2024/09/23 09:00:26+00
-8571595.25602886,4710271.41846568,121705,Ward 5,"410 Rhode Island Avenue Northeast, Washington, District of Columbia 20002",Rialto,Completed 2015 to Date,DHCD,5,38.92024405,-76.99999931,0,0,5,0,0,,288105,400004.51,139165.48,410 RHODE ISLAND AVENUE NE,2024/09/23 09:00:26+00
-8574235.68192233,4710023.43894361,121706,Ward 1,"2131 9th Street Northwest, Washington, District of Columbia 20001",9th and W,Completed 2015 to Date,DHCD,26,38.91890437,-77.02364229,0,1,25,0,0,,284242,397947.54,138973.35,2131 9TH STREET NW,2024/09/23 09:00:26+00
-8568309.72532835,4703720.73814504,121707,Ward 7,"2505 Burns Street Southeast, Washington, District of Columbia 20020",Penn Flats 16,Completed 2015 to Date,DHCD,2,38.8745645,-76.97040004,0,0,2,0,0,,287085,402565.62,134081.96,2505 BURNS STREET SE,2024/09/23 09:00:26+00
-8572751.52904093,4702752.95305916,121708,Ward 6,"1800 Half Street Southwest, Washington, District of Columbia 20024",Verge - 1800 Half St SW,Completed 2015 to Date,DHCD,27,38.8680031,-77.01036934,0,1,26,0,0,,306684,399103.1,133330.23,1800 HALF STREET SW,2024/09/23 09:00:26+00
-8574557.11917628,4715381.5064685,121709,Ward 4,"916 Kennedy Street Northwest, Washington, District of Columbia 20011",916 Kennedy St NW,Pipeline,DHCD,1,38.95606657,-77.02655485,0,0,0,1,0,,254596,397698.34,143129.47,916 KENNEDY STREET NW,2024/09/23 09:00:26+00
-8574732.73922713,4718316.51621477,121710,Ward 4,"7150 12th Street Northwest, Washington, District of Columbia 20012",WRAMC - The Hartley (Building IJ),Completed 2015 to Date,DMPED,32,38.97656593,-77.02813247,0,2,0,30,0,,334712,397562.3,145405.17,7150 12TH STREET NW,2024/09/23 09:00:26+00
-8574770.61360785,4712534.36594886,121711,Ward 4,"1125 Spring Road Northwest, Washington, District of Columbia 20010",The Appleton - Spring Flats Senior 4 % - fka Hebrew Home,Completed 2015 to Date,DCHFA DHCD,43,38.93630084,-77.02868418,16,27,0,0,0,,283920,397531.42,140921.37,1125 SPRING ROAD NW,2024/09/23 09:00:26+00
-8571001.96274662,4696972.57251356,121712,Ward 8,"800 Southern Avenue Southeast, Washington, District of Columbia 20032",Park Southern Apartments - Summer 2018,Completed 2015 to Date,DCHFA DHCD,336,38.82735337,-76.99461836,10,132,171,23,0,,79579,400467.3,128840.97,800 SOUTHERN AVENUE SE,2024/09/23 09:00:26+00
-8569015.28690956,4707149.09824077,121713,Ward 6,"740 19th Street Northeast, Washington, District of Columbia 20002",740 19th St NE,Completed 2015 to Date,DHCD,1,38.89851478,-76.97676391,0,1,0,0,0,,78556,402014.95,136742.93,740 19TH STREET NE,2024/09/23 09:00:26+00
-8570595.06260755,4712244.06334844,121714,Ward 5,"3619 12th Street Northeast, Washington, District of Columbia 20017",3619 12th St NE,Completed 2015 to Date,DHCD,2,38.9341376,-76.99091316,0,1,0,1,0,,32672,400783.52,140695.84,3619 12TH STREET NE,2024/09/23 09:00:26+00
