GEOID,MHI_2013,MHI_2023,Rent_2013,Rent_2023,Value_2013,Value_2023,Income_Change_%,Rent_Change_%,Value_Change_%,OwnerPct_2013,RenterPct_2013,OwnerPct_2023,RenterPct_2023,OwnerChangePct,RenterChangePct
24031700815,90962.0,106404.0,1796.0,2296.0,268200.0,366500.0,16.976319781886943,27.839643652561247,36.6517524235645,83.73540856031128,16.264591439688715,79.73291437549096,20.267085624509036,-4.002494184820321,4.002494184820321
24031700816,72681.0,,1407.0,,286400.0,,,,,,,,,,
24031700817,84583.0,,1733.0,,373300.0,,,,,,,,,,
24031700818,65422.0,79668.0,1404.0,1776.0,244600.0,370400.0,21.775549509339363,26.495726495726498,51.43090760425184,24.685343077547707,75.3146569224523,22.22222222222222,77.77777777777779,-2.463120855325485,2.463120855325485
24031700819,75343.0,102798.0,1672.0,2099.0,258800.0,360100.0,36.44001433444381,25.53827751196172,39.14219474497681,88.08152414709792,11.918475852902082,68.92797319932998,31.072026800670017,-19.15355094776794,19.153550947767933
24031700820,62558.0,86746.0,1521.0,2105.0,415100.0,550500.0,38.664918955209565,38.39579224194608,32.618646109371234,25.35804549283909,74.64195450716092,40.1010101010101,59.898989898989896,14.742964608171008,-14.742964608171022
24031700822,65476.0,79183.0,1356.0,1691.0,135500.0,167200.0,20.934388172765598,24.70501474926253,23.39483394833948,54.69448584202683,45.30551415797318,54.179566563467496,45.82043343653251,-0.5149192785593328,0.5149192785593328
24031700823,109417.0,160789.0,2000.0,2732.0,379100.0,536900.0,46.95065666212746,36.6,41.62490108150884,88.996138996139,11.003861003861005,89.94229183841715,10.057708161582852,0.9461528422781527,-0.9461528422781527
24031700824,132930.0,220385.0,1495.0,2163.0,617600.0,748000.0,65.79026555329874,44.68227424749164,21.1139896373057,90.47131147540983,9.528688524590164,93.96471680594243,6.035283194057568,3.493405330532596,-3.493405330532596
24031700826,122981.0,165700.0,1823.0,2369.0,542800.0,767300.0,34.73626007269416,29.95063082830499,41.35961680176861,64.12386706948641,35.87613293051359,71.32784958871915,28.672150411280846,7.2039825192327385,-7.203982519232746
24031700828,154896.0,212065.0,1685.0,2133.0,599600.0,848200.0,36.90798987707881,26.58753709198813,41.46097398265511,91.92708333333334,8.072916666666668,86.81818181818181,13.18181818181818,-5.10890151515153,5.108901515151512
24031700829,128594.0,150052.0,2000.0,2713.0,428800.0,480400.0,16.686626125635723,35.65,12.03358208955224,89.85868661679135,10.141313383208644,82.44147157190636,17.558528428093645,-7.417215044884983,7.417215044885001
24031700830,64621.0,88163.0,1738.0,2195.0,373600.0,470900.0,36.43088160195602,26.294591484464902,26.043897216274093,21.428571428571427,78.57142857142857,10.283018867924529,89.71698113207547,-11.145552560646898,11.145552560646905
24031700832,70405.0,86696.0,1206.0,1778.0,260700.0,337400.0,23.13898160642,47.42951907131012,29.42079018028385,83.24084350721421,16.75915649278579,76.22950819672131,23.770491803278688,-7.011335310492896,7.011335310492896
24031700833,81056.0,108221.0,1218.0,1799.0,331700.0,394500.0,33.51386695617845,47.70114942528736,18.932770575821525,70.65693430656934,29.34306569343066,78.54435178165276,21.455648218347235,7.887417475083424,-7.887417475083424
24031700834,90788.0,107639.0,1668.0,2045.0,235400.0,304300.0,18.56082301625765,22.60191846522782,29.269328802039084,67.98170383076044,32.01829616923956,78.11059907834101,21.889400921658986,10.128895247580573,-10.128895247580576
24031700835,140550.0,162600.0,2000.0,2282.0,493700.0,608900.0,15.68836712913554,14.099999999999998,23.3340085071906,88.3638928067701,11.6361071932299,93.61370716510903,6.386292834890965,5.249814358338938,-5.249814358338935
24031700836,,89196.0,,1968.0,,402900.0,,,,,,,,,
24031700837,,101408.0,,2143.0,,383500.0,,,,,,,,,
24031700838,,107250.0,,2244.0,,415100.0,,,,,,,,,
24031700839,,99602.0,,2305.0,,608100.0,,,,,,,,,
24031700901,78917.0,82617.0,1596.0,2177.0,316500.0,485400.0,4.688470164856748,36.40350877192983,53.3649289099526,19.986697705354175,80.01330229464583,35.19630484988453,64.80369515011547,15.209607144530352,-15.209607144530352
