FID,County,School Name,Address,City,zip,Type,Grades,Format,GlobalID,x,y
1151,Anne Arundel,Seven Oaks Elementary School,1905 Town Center Boulevard,Odenton,0,Public Elementary,PreK-5,Public,11a02999-620d-4c11-b80e-a61ebfad50a3,1395496.01446976,523724.491844833
1152,Baltimore,Seven Oaks Elementary School,9220 Seven Courts Drive,Baltimore,0,Public Elementary,PreK-5,Public,8974a9d9-6fed-49a4-81de-388c42a2b78e,1456304.15236767,633906.19077234
1153,Baltimore,Seventh District Elementary School,20300 York Road,Parkton,0,Public Elementary,PreK-5,Public,6e4b7cdc-824f-4c98-9f00-ff2ba5b46f2a,1411740.48985475,733910.87330851
1154,Anne Arundel,Severn Elementary School,838 Reece Road,Severn,0,Public Elementary,K-5,Public,27bc2945-5fc0-47da-a050-7967cc613555,1400230.46727118,535907.462885678
1155,Anne Arundel,Severn River Middle School,241 Peninsula Farm Road,Arnold,0,Public Middle,6-8,Public,92704172-e47c-414e-afa7-30e3c60215f5,1450264.3668751,507460.868204176
1156,Anne Arundel,Severna Park Elementary School,6 Riggs Avenue,Severna Park,0,Public Elementary,K-5,Public,35ce065b-f17a-44a7-b628-a959af01acc1,1440525.61535525,512243.136854842
1157,Anne Arundel,Severna Park High School,60 Robinson Road,Severna Park,0,Public High,9-12,Public,0afd91d5-0e95-4221-aff7-779c6522e7a6,1437954.53224283,514079.888758749
1158,Anne Arundel,Severna Park Middle School,450 Jumpers Hole Road,Severna Park,0,Public Middle,6-8,Public,c595a721-af0f-4688-9713-2af97ec2162b,1429920.49319284,517489.832726255
1159,Montgomery,Shady Grove Middle School,8100 Mid County Highway,Gaithersburg,0,Public Middle,6-8,Public,ab4f2e00-716e-4e83-8ecf-5dd01569f428,1266198.69662134,537729.668886915
1160,Anne Arundel,Shady Side Elementary School,4859 Atwell Road,Shady Side,0,Public Elementary,PreK-5,Public,c31eff03-5183-44d2-ac3b-d57de2ceaa67,1453069.10864092,428119.906479582
