X,Y,OBJECTID,MAR_WARD,ADDRESS,PROJECT_NAME,STATUS_PUBLIC,AGENCY_CALCULATED,TOTAL_AFFORDABLE_UNITS,LATITUDE,LONGITUDE,AFFORDABLE_UNITS_AT_0_30_AMI,AFFORDABLE_UNITS_AT_31_50_AMI,AFFORDABLE_UNITS_AT_51_60_AMI,AFFORDABLE_UNITS_AT_61_80_AMI,AFFORDABLE_UNITS_AT_81_AMI,CASE_ID,MAR_ID,XCOORD,YCOORD,FULLADDRESS,GIS_LAST_MOD_DTTM
-77.01169446,38.90451821,89869,Ward 6,"22 Banner Ln NW, Washington, District of Columbia 20002","Banner Lane (Sursum Corda Phase 1, South Parcel)",Completed 2015 to Date,DCHA DCHFA DHCD OP,118,38.90451043,-77.01169217,12,64,0,42,0,15-20C,334557,398985.84,137406.06,22 BANNER LANE NW,2024/02/05 05:00:27+00
-77.0299993,38.9333416,89870,Ward 1,"3534 13th Street Northwest, Washington, District of Columbia 20010",3532 1/2 -3534 13th Street NW,Completed 2015 to Date,DHCD,1,38.93334742,-77.02995491,0,0,0,1,0,,230672,397399.16,140606.06,3534 13TH STREET NW,2024/02/05 05:00:27+00
-76.98754354,38.88083062,89871,Ward 6,"1335 Pennsylvania Avenue Southeast, Washington, District of Columbia 20003",1335 Pennsylvania Ave SE,Under Construction,DHCD,1,38.88082317,-76.98754126,0,0,0,1,0,,67017,401081.01,134776.56,1335 PENNSYLVANIA AVENUE SE,2024/02/05 05:00:27+00
-77.02020342,38.95673039,89872,Ward 4,"505 Kennedy Street Northwest, Washington, District of Columbia 20011",505 Kennedy St NW,Completed 2015 to Date,DHCD,1,38.95663941,-77.02020144,0,1,0,0,0,,246744,398249.07,143202.19,505 KENNEDY STREET NW,2024/02/05 05:00:27+00
-77.08008195,38.950597,89873,Ward 3,"4633 41st Street Northwest, Washington, District of Columbia 20016",4633 41st St NW,Pipeline,DHCD,1,38.95058921,-77.08007964,0,1,0,0,0,,331205,393058.51,142524.18,4633 41ST STREET NW,2024/02/05 05:00:27+00
-76.98000522,38.90586123,89874,Ward 5,"1214 Bladensburg Road Northeast, Washington, District of Columbia 20002",1214 Bladensburg Rd NE,Completed 2015 to Date,DHCD,4,38.90574028,-76.97994878,0,1,3,0,0,,300734,401734.48,137555.27,1214 BLADENSBURG ROAD NE,2024/02/05 05:00:27+00
-76.97646829,38.92162849,89875,Ward 5,"2400 20th St NE, Washington, District of Columbia 20018",2400 20th St NE,Under Construction,DHCD,1,38.92162103,-76.97646602,0,0,0,1,0,,47843,402040.81,139305.64,2400 20TH STREET NE,2024/02/05 05:00:27+00
-76.97593673,38.89858504,89876,Ward 7,"1915 Benning Road Northeast, Washington, District of Columbia 20002",1915 Benning Road NE,Under Construction,DHCD,1,38.89857758,-76.97593445,0,1,0,0,0,,54022,402087.58,136747.64,1915 BENNING ROAD NE,2024/02/05 05:00:27+00
-77.08263518,38.95388442,89877,Ward 3,"4912 Wisconsin Avenue Northwest, Washington, District of Columbia 20016",4912 Wisconsin Ave NW,Under Construction,DHCD,2,38.95387696,-77.08263287,0,1,1,0,0,,266071,392837.52,142889.31,4912 WISCONSIN AVENUE NW,2024/02/05 05:00:27+00
-76.99066044,38.86188317,89878,Ward 8,"1258 Talbert Street Southeast, Washington, District of Columbia 20020",Talbert-Morris Residences,Pipeline,DHCD,1,38.86189951,-76.99068051,0,0,0,1,0,,285994,400810.78,132673.22,1258 TALBERT STREET SE,2024/02/05 05:00:27+00
-77.0266595,38.94871677,89879,Ward 4,"4811 Georgia Avenue Northwest, Washington, District of Columbia 20011",4811 Georgia Ave NW,Under Construction,DHCD,1,38.94870931,-77.0266572,0,1,0,0,0,,252038,397689.23,142312.75,4811 GEORGIA AVENUE NW,2024/02/05 05:00:27+00
-77.01826852,38.87899863,89880,Ward 6,"400 I Street Southwest, Washington, District of Columbia 20024",Westminster Presbyterian Church Redevelopment - 400 I St SW,Pipeline,OP,123,38.87899085,-77.01826623,0,0,123,0,0,20-12,150785,398415.05,134573.28,400 I STREET SW,2024/02/05 05:00:27+00
-77.01260516,38.90077082,89881,Ward 6,"801 New Jersey Avenue Northwest, Washington, District of Columbia 20001",Alta 801,Completed 2015 to Date,DHCD,27,38.90076337,-77.01260287,0,0,27,0,0,,310302,398906.79,136990.08,801 NEW JERSEY AVENUE NW,2024/02/05 05:00:27+00
-77.01901656,38.95626648,89882,Ward 4,"414 Kennedy Street Northwest, Washington, District of Columbia 20011",414 Kennedy St NW,Under Construction,DHCD,2,38.95625901,-77.01901426,0,0,0,2,0,,248731,398351.93,143150.67,414 KENNEDY STREET NW,2024/02/05 05:00:27+00
-76.96461006,38.85206548,89883,Ward 8,"3044 30th Street Southeast, Washington, District of Columbia 20020",3044 30th St SE,Under Construction,DHCD,2,38.85198087,-76.96472211,0,0,2,0,0,,41241,403072.12,131583.94,3044 30TH STREET SE,2024/02/05 05:00:27+00
-77.0160156,38.9752955,89884,Ward 4,"218 Cedar Street Northwest, Washington, District of Columbia 20012",218 Cedar St NW,Under Construction,DHCD,7,38.97529273,-77.0159428,0,0,0,7,0,,245144,398612.41,145263.02,218 CEDAR STREET NW,2024/02/05 05:00:27+00
-76.98030629,38.90570696,89885,Ward 5,"1200 Bladensburg Road Northeast, Washington, District of Columbia 20002",1200 Bladensburg Rd NE,Under Construction,DHCD,3,38.90569951,-76.98030401,0,0,3,0,0,,285908,401708.37,137538.14,1200 BLADENSBURG ROAD NE,2024/02/05 05:00:27+00
-76.98244108,38.86610015,89886,Ward 8,"1525 Good Hope Road Southeast, Washington, District of Columbia 20020",1525 Good Hope Rd SE,Pipeline,DHCD,2,38.86609237,-76.9824388,0,1,1,0,0,,61275,401524.05,133141.44,1525 GOOD HOPE ROAD SE,2024/02/05 05:00:27+00
-76.97401042,38.87386752,89887,Ward 7,"2230 Nicholson Street Southeast, Washington, District of Columbia 20020",2230 Nicholson St SE,Completed 2015 to Date,DHCD,1,38.87386007,-76.97400815,0,1,0,0,0,,49834,402255.46,134003.85,2230 NICHOLSON STREET SE,2024/02/05 05:00:27+00
-77.02007557,38.94113861,89888,Ward 4,"525 Taylor Street Northwest, Washington, District of Columbia 20011",525 Taylor St NW,Pipeline,DHCD,1,38.94113081,-77.02007328,0,0,0,1,0,,336584,398259.77,141471.36,525 TAYLOR STREET NW,2024/02/05 05:00:27+00
-77.02048248,38.95663989,89889,Ward 4,"513 Kennedy Street Northwest, Washington, District of Columbia 20011",513 Kennedy St NW,Under Construction,DHCD,1,38.95663243,-77.02048019,0,0,1,0,0,,246725,398224.88,143192.15,513 KENNEDY STREET NW,2024/02/05 05:00:27+00
-76.98103295,38.86672295,89890,Ward 8,"1913 17th Street Southeast, Washington, District of Columbia 20020",1913 17th St SE,Under Construction,DHCD,2,38.86675369,-76.98101315,0,0,2,0,0,,54189,401646.24,133210.6,1913 17TH STREET SE,2024/02/05 05:00:27+00
-76.97625646,38.87276942,89891,Ward 8,"1517 Young Street Southeast, Washington, District of Columbia 20020",1517 Young St SE,Under Construction,DHCD,2,38.87280055,-76.97622041,0,0,2,0,0,,331139,402060.59,133881.9,1517 YOUNG STREET SE,2024/02/05 05:00:27+00
-76.98383606,38.88780617,89892,Ward 6,"1444 Independence Avenue Southeast, Washington, District of Columbia 20003",1444 Independence Ave SE,Completed 2015 to Date,DHCD,1,38.88779838,-76.98383378,0,0,1,0,0,,63178,401402.56,135550.95,1444 INDEPENDENCE AVENUE SE,2024/02/05 05:00:27+00
