geoid,name,B25003001,"B25003001, Error",B25003002,"B25003002, Error",B25003003,"B25003003, Error"
14000US24005440600,"Census Tract 4406, Baltimore, MD",933,93,734,94,199,53
14000US24005440701,"Census Tract 4407.01, Baltimore, MD",2952,442,1223,404,1729,271
14000US24005440702,"Census Tract 4407.02, Baltimore, MD",2088,219,1227,201,861,250
14000US24005440800,"Census Tract 4408, Baltimore, MD",1482,261,646,106,836,273
14000US24005440900,"Census Tract 4409, Baltimore, MD",1459,163,693,159,766,153
14000US24005441000,"Census Tract 4410, Baltimore, MD",1435,206,702,130,733,206
14000US24005441101,"Census Tract 4411.01, Baltimore, MD",877,182,803,183,74,39
14000US24005441102,"Census Tract 4411.02, Baltimore, MD",1966,262,1680,273,286,95
14000US24005450100,"Census Tract 4501, Baltimore, MD",1380,134,1141,139,239,124
14000US24005450200,"Census Tract 4502, Baltimore, MD",1230,145,1028,155,202,108
14000US24005450300,"Census Tract 4503, Baltimore, MD",1318,129,905,151,413,111
14000US24005450400,"Census Tract 4504, Baltimore, MD",852,91,658,84,194,52
14000US24005450501,"Census Tract 4505.01, Baltimore, MD",1750,223,1040,210,710,174
14000US24005450503,"Census Tract 4505.03, Baltimore, MD",2390,229,780,284,1610,205
14000US24005450504,"Census Tract 4505.04, Baltimore, MD",2767,283,283,240,2484,314
14000US24005450800,"Census Tract 4508, Baltimore, MD",1725,131,1071,182,654,156
14000US24005450900,"Census Tract 4509, Baltimore, MD",1707,135,1611,116,96,92
14000US24005451000,"Census Tract 4510, Baltimore, MD",666,61,569,61,97,46
14000US24005451100,"Census Tract 4511, Baltimore, MD",734,121,537,140,197,70
14000US24005451200,"Census Tract 4512, Baltimore, MD",1655,198,1433,215,222,97
14000US24005451300,"Census Tract 4513, Baltimore, MD",1352,210,685,179,667,162
14000US24005451401,"Census Tract 4514.01, Baltimore, MD",1411,272,857,311,554,162
14000US24005451402,"Census Tract 4514.02, Baltimore, MD",1802,291,744,238,1058,285
14000US24005451500,"Census Tract 4515, Baltimore, MD",1274,157,855,150,419,163
14000US24005451600,"Census Tract 4516, Baltimore, MD",842,116,565,99,277,100
14000US24005451701,"Census Tract 4517.01, Baltimore, MD",2566,248,1934,218,632,181
14000US24005451702,"Census Tract 4517.02, Baltimore, MD",678,80,655,77,23,28
